requisicaoN;tempoHTTP
1;0.282866
2;0.259735
3;0.281975
4;0.307606
5;0.262612
6;0.254918
7;0.254705
8;0.268457
9;0.323684
10;0.270910
11;0.256614
12;0.266325
13;0.245383
14;0.252687
15;0.250014
16;0.278785
17;0.264230
18;0.252263
19;0.248732
20;0.248527
21;0.355325
22;0.251674
23;0.246443
24;0.261779
25;0.271111
26;0.263056
27;0.263351
28;0.349097
29;0.317376
30;0.274199
31;0.260219
32;0.281623
33;0.273518
34;0.278211
35;0.300328
36;0.271091
37;0.286679
38;0.280931
39;0.268242
40;0.278303
41;0.256738
42;0.262252
43;0.273601
44;0.268293
45;0.251728
46;0.273380
47;0.270102
48;0.274274
49;0.258478
50;0.247839
51;0.269229
52;0.278202
53;0.255904
54;0.301733
55;0.253177
56;0.268395
57;0.292761
58;0.286634
59;0.251261
60;0.298179
61;0.263418
62;0.270411
63;0.256434
64;0.274543
65;0.258566
66;0.276633
67;0.267849
68;0.290285
69;0.284910
70;0.249526
71;0.312261
72;0.260564
73;0.270580
74;0.258433
75;0.344576
76;0.256699
77;0.270693
78;0.274802
79;0.269637
80;0.260784
81;0.270426
82;0.245258
83;0.259961
84;0.266178
85;0.244998
86;0.269592
87;0.272030
88;0.256116
89;0.274284
90;0.273419
91;0.266592
92;0.249729
93;0.250442
94;0.275952
95;0.269898
96;0.272003
97;0.262952
98;0.247795
99;0.276748
100;0.243955
101;0.267562
102;0.357930
103;0.260020
104;0.287428
105;0.274580
106;0.253750
107;0.272893
108;0.278155
109;0.268890
110;0.259796
111;0.273312
112;0.265869
113;0.254368
114;0.258143
115;0.267345
116;0.250495
117;0.255480
118;0.263397
119;0.299994
120;0.269551
121;0.280484
122;0.246963
123;0.268055
124;0.271634
125;0.269885
126;0.256418
127;0.244956
128;0.255837
129;0.279092
130;0.295431
131;0.333095
132;0.275846
133;0.271298
134;0.265983
135;0.249806
136;0.252595
137;0.275373
138;0.249423
139;0.280290
140;0.254668
141;0.277846
142;0.254978
143;0.846653
144;0.275806
145;0.270502
146;0.250158
147;0.353523
148;0.254811
149;0.439330
150;0.251655
151;0.273740
152;1.369.212
153;0.259367
154;0.284490
155;0.271323
156;0.267659
157;0.358375
158;0.273314
159;0.258430
160;0.281873
161;0.253713
162;0.250216
163;0.252114
164;0.252283
165;0.250898
166;0.272844
167;0.264514
168;0.254177
169;0.267949
170;0.269670
171;0.269934
