requisicaoN;
1;0.279506
2;0.261098
3;0.263575
4;0.270703
5;0.269387
6;0.258961
7;0.260099
8;0.261366
9;0.268899
10;0.255747
11;0.249092
12;0.272648
13;0.254765
14;0.250022
15;0.264088
16;0.339957
17;0.263312
18;0.295570
19;0.249344
20;0.253397
21;0.287002
22;0.250248
23;0.277283
24;0.260236
25;0.349102
26;0.296362
27;0.282592
28;0.352086
29;0.277662
30;0.359438
31;0.273125
32;0.294892
33;0.276514
34;0.336795
35;0.284075
36;0.268505
37;0.255198
38;0.276035
39;0.275535
40;0.265005
41;0.296718
42;0.260859
43;0.278034
44;0.272525
45;0.358507
46;0.277505
47;0.352281
48;0.254727
49;0.284990
50;0.256683
51;0.258057
52;0.261728
53;0.280965
54;0.274356
55;0.261209
56;0.422559
57;0.267101
58;0.249073
59;0.352538
60;0.256051
61;0.304193
62;0.271154
63;0.271864
64;0.427002
65;0.260407
66;0.275562
67;0.257501
68;0.275590
69;0.257594
70;0.281148
71;0.295572
72;0.439980
73;0.497134
74;0.249475
75;0.278669
76;0.257994
77;0.286657
78;0.275401
79;0.275121
80;0.313541
81;0.281624
82;0.287255
83;0.271226
84;0.258757
85;0.254434
86;0.261547
87;0.269980
88;0.269988
89;0.839032
90;0.274343
91;0.277225
92;0.312523
93;0.281962
94;0.280064
95;0.811989
96;0.269906
97;0.265803
98;0.283834
99;0.286038
100;0.284183
101;0.261240
102;0.261390
103;0.361150
104;0.348552
105;0.318736
106;0.322652
107;0.279425
108;0.254405
109;0.328872
110;0.282733
111;0.271372
112;0.515081
113;0.293706
114;0.257622
115;0.270932
116;0.261990
117;0.355663
118;0.260568
119;0.272737
120;0.275666
121;0.273272
122;0.274519
123;0.273543
124;0.249889
125;0.350687
126;0.268908
127;0.251482
128;0.303507
129;0.267747
130;0.282063
131;0.321573
132;0.278304
133;0.255736
134;0.268768
135;0.274933
136;0.269438
137;0.299921
138;0.262000
139;0.261199
140;0.295971
141;0.250199
142;0.274269
143;0.360802
144;0.257257
145;0.287555
146;0.283459
147;0.263814
148;0.278631
149;0.271005
150;0.255299
