requisicaoN;tempoHTTP
1;0.296724
2;0.276045
3;0.298356
4;0.282940
5;0.275838
6;0.255361
7;0.273912
8;0.267415
9;0.277382
10;0.279515
11;0.275190
12;0.325304
13;0.323612
14;0.324872
15;0.304178
16;0.358410
17;0.304412
18;0.261060
19;0.278769
20;0.297661
21;0.385153
22;0.270733
23;0.257015
24;0.259186
25;0.271679
26;0.254527
27;0.294202
28;0.253137
29;0.270211
30;0.278503
31;0.270263
32;0.265959
33;0.274729
34;0.272834
35;0.271643
36;0.282328
37;0.273454
38;0.258493
39;0.275016
40;0.263544
41;0.266513
42;0.262381
43;0.251639
44;0.267142
45;0.261909
46;0.255796
47;0.272295
48;0.255078
49;0.276666
50;0.279983
51;0.267917
52;0.257008
53;0.263654
54;0.248424
55;0.255426
56;0.264839
57;0.266308
58;0.251764
59;0.260484
60;0.281271
61;0.276612
62;0.269651
63;0.279428
64;0.270802
65;0.279158
66;0.279477
67;0.265641
68;0.274828
69;0.259803
70;0.250859
71;0.274946
72;0.253971
73;0.352943
74;0.264585
75;0.274403
76;0.263378
77;0.278958
78;0.262731
79;0.267047
80;0.269241
81;0.268250
82;0.250616
83;0.291870
84;0.251435
85;0.268012
86;0.250208
87;0.274480
88;0.253135
89;0.265761
90;0.262743
91;0.276445
92;0.273306
93;0.262315
94;0.251320
95;0.274379
96;0.271428
97;0.255558
98;0.261206
99;0.276696
100;0.269753
101;0.271978
102;0.272158
103;0.273211
104;0.282076
105;0.278683
106;0.270981
107;0.339619
108;0.279717
109;0.261705
110;0.255825
111;0.272221
112;0.248566
113;0.269652
114;0.254437
115;0.269213
116;0.259728
117;0.278109
118;0.259649
119;0.275719
120;0.266892
121;0.268437
122;0.270725
123;0.271303
124;0.270522
125;0.342881
126;0.272036
127;0.265979
128;0.252024
129;0.270125
130;0.279426
131;0.276135
132;0.272048
133;0.268926
134;0.274831
135;0.255948
136;0.345174
137;0.283863
138;0.281790
139;0.261328
140;0.249582
141;0.258769
142;0.269560
143;0.277414
144;0.259608
145;0.273136
146;0.251510
147;0.249162
148;0.262387
149;0.267404
150;0.257990
151;0.252372
152;0.352483
153;0.254960
154;0.275674
155;0.277688
156;0.278118
157;0.258128
158;0.270493
159;0.270795
160;0.259794
161;0.255261
162;0.256025
163;0.254529
164;0.259519
165;0.278887
166;0.273189
167;0.277019
168;0.270302
169;0.256172
170;0.271046
171;0.270440
172;0.273209
173;0.280723
174;0.256941
175;0.257192
176;0.272946
177;0.280779
178;0.271656
