requisicaoN;tempoHTTP
1;0.314516
2;0.256041
3;0.267996
4;0.245772
5;0.282384
6;0.360515
7;0.252974
8;0.275196
9;0.304023
10;0.282252
11;0.254682
12;0.403167
13;0.254980
14;0.247329
15;0.248318
16;0.279532
17;0.436704
18;0.252910
19;0.266963
20;0.288172
21;0.256974
22;0.248586
23;0.277297
24;0.257992
25;0.259115
26;0.260651
27;0.267827
28;0.284765
29;0.270133
30;0.367099
31;0.276336
32;0.253700
33;0.261168
34;0.277045
35;0.274860
36;0.262518
37;0.348748
38;0.253152
39;0.256029
40;0.354255
41;0.272771
42;0.269575
43;0.278565
44;0.281995
45;0.261856
46;0.269481
47;0.247183
48;0.252710
49;0.277401
50;0.266253
51;0.259238
52;0.251473
53;0.250626
54;0.272363
55;0.252828
56;0.271952
57;0.278178
58;0.260585
59;0.261668
60;0.274158
61;0.269022
62;0.283655
63;0.272063
64;0.263048
65;0.344410
66;0.285197
67;0.280417
68;0.279110
69;0.267514
70;0.273862
71;0.276056
72;0.246652
73;0.256602
74;0.269543
75;0.264561
76;0.258763
77;0.349460
78;0.249269
79;0.253568
80;0.252170
81;0.260437
82;0.252734
83;0.275336
84;0.267497
85;0.265569
86;0.300359
87;0.251204
88;0.269507
89;0.272661
90;0.271503
91;0.262267
92;0.270389
93;0.275242
94;0.254730
95;0.273297
96;0.280154
97;0.260232
98;0.277925
99;0.261947
100;0.257403
101;0.271384
102;0.260313
103;0.259532
104;0.280910
105;0.283101
106;0.262866
107;0.351495
108;0.285971
109;0.254467
110;0.251727
111;0.259101
112;0.283284
113;0.249350
114;0.263300
115;0.270326
116;0.273094
117;0.248224
118;0.250676
119;0.262399
120;0.244346
121;0.267224
122;0.256107
123;0.345370
124;0.273174
125;0.275173
126;0.689322
127;0.289912
128;0.262884
129;0.284474
130;0.288763
131;0.281317
132;0.268847
133;0.547699
134;0.333824
135;0.342899
136;0.311931
137;0.296418
138;0.267413
139;0.250938
140;0.249202
141;0.517419
142;0.274893
143;0.252515
144;0.273747
145;0.350643
146;0.704138
147;0.305975
148;0.261409
149;0.265376
150;0.245243
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
