requisicaoN;tempoHTTP
1;0.254575
2;0.330778
3;0.269870
4;0.265502
5;0.273211
6;0.284995
7;0.271881
8;0.297379
9;0.280317
10;0.274544
11;0.346117
12;0.280803
13;0.277270
14;0.260256
15;0.271129
16;0.256500
17;0.306449
18;0.258051
19;0.255473
20;1.257.458
21;0.285032
22;0.320645
23;0.262493
24;0.275694
25;0.286526
26;0.322052
27;0.262450
28;0.317390
29;0.332866
30;0.305720
31;0.264525
32;0.265667
33;0.289502
34;0.302054
35;0.291405
36;0.257768
37;0.268122
38;0.299282
39;0.349669
40;0.324205
41;0.324567
42;0.273116
43;0.269020
44;0.296975
45;0.289872
46;0.248080
47;0.367683
48;0.259267
49;0.254602
50;0.255139
51;0.294305
52;0.252278
53;0.282603
54;0.352571
55;0.295568
56;0.357897
57;0.287352
58;0.300552
59;0.249568
60;0.374818
61;0.265000
62;0.317547
63;0.297215
64;0.268211
65;0.258603
66;0.293785
67;0.282634
68;1.364.952
69;0.283674
70;0.270363
71;0.331984
72;0.260989
73;0.256614
74;0.280165
75;0.268757
76;0.262518
77;0.264941
78;0.281953
79;0.260445
80;0.259440
81;0.265263
82;0.255207
83;0.251771
84;0.254037
85;0.259624
86;0.249423
87;0.313740
88;0.251139
89;0.268022
90;0.250372
91;0.269491
92;0.252246
93;0.276356
94;0.258802
95;0.264550
96;0.293556
97;0.284785
98;0.252455
99;0.365795
100;0.276038
101;0.262284
102;0.252279
103;0.272940
104;0.286053
105;0.272302
106;0.263052
107;0.282239
108;0.291939
109;0.266120
110;0.287634
111;0.292956
112;0.347147
113;0.272121
114;0.274605
115;0.278474
116;0.271414
117;0.260902
118;0.258012
119;0.263614
120;0.267176
121;0.791300
122;0.351371
123;0.320961
124;0.295091
125;0.297886
126;0.509128
127;0.297042
128;0.351512
129;0.281678
130;0.274487
131;0.285683
132;0.263412
133;0.279369
134;0.790431
135;0.268742
136;0.249802
137;0.352175
138;0.287166
139;0.366202
140;0.278035
141;0.249431
142;0.253138
143;0.270527
144;0.269502
145;0.278568
146;0.284938
147;0.289198
148;0.273124
149;0.286337
150;0.285562
151;0.295636
152;0.269803
153;0.275781
154;0.527521
155;0.267734
156;0.263807
157;0.286393
158;0.269602
159;0.250823
160;0.272074
161;0.289608
162;0.285557
163;0.455451
164;0.290064
165;0.458756
166;0.851399
167;0.651453
168;1.385.633
169;0.490858
170;0.348057
171;0.432545
172;0.353108
173;0.343314
174;0.414308
175;1.013.370
176;0.418697
177;0.375513
178;0.428883
179;1.173.158
180;0.321626
181;0.343637
182;1.689.482
183;0.625433
184;0.408354
185;0.450845
186;0.376590
187;0.452651
188;0.329349
189;0.258600
190;0.247990
191;0.270374
192;0.247676
193;0.287477
194;0.267096
195;0.267034
196;0.334966
197;0.269144
198;0.254528
199;0.294431
200;0.250539
201;0.273343
202;0.289706
203;0.528204
204;1.067.730
205;0.276255
206;0.276986
207;0.269354
208;0.262203
209;0.361583
210;0.271953
211;0.257794
212;0.438925
213;0.269086
214;0.255746
215;0.268612
216;0.278292
217;0.276518
218;0.274223
219;0.250519
220;0.289452
221;0.264509
222;0.353601
223;0.395169
224;0.266204
225;0.275259
226;0.327259
227;0.262042
228;0.246121
229;0.353213
230;0.250543
231;0.270259
232;0.305334
233;0.252623
234;0.268202
235;0.263811
236;0.244038
237;0.248873
238;0.253200
239;0.250272
240;0.284465
241;0.275101
242;0.261887
243;0.275944
244;0.352491
245;0.267019
246;0.245487
247;0.249452
248;0.335742
249;0.274310
250;0.356806
251;0.271065
252;0.260266
253;0.245024
254;0.327233
255;0.257110
256;0.265426
257;0.262266
258;0.272509
259;0.272983
260;0.251500
261;0.351346
262;0.264148
263;0.287001
264;0.333643
265;0.307063
266;0.270277
267;0.346956
268;0.307747
269;0.269124
270;0.280690
271;0.256736
272;0.268079
273;0.287006
274;0.277314
275;0.269272
276;0.356967
277;0.278763
278;0.924521
279;0.276597
280;0.250595
281;0.265220
282;0.244671
283;0.273194
284;0.343819
285;0.275814
286;0.302264
287;0.269094
288;0.283037
289;0.272819
290;0.375483
291;0.277888
292;0.268703
293;0.284428
294;0.284403
295;0.257672
296;0.348346
297;0.271002
298;0.351238
299;0.290034
300;0.270131
301;0.265963
302;0.728922
303;0.427860
304;0.941328
305;0.259707
306;0.297235
307;0.309993
308;0.272769
309;1.284.406
310;0.245151
311;0.274659
312;0.276811
313;0.269752
314;0.280372
315;0.263143
316;0.259041
317;0.262107
318;0.270052
319;0.267629
320;0.273448
321;0.253470
322;0.277596
323;0.275402
324;0.263760
325;0.270610
326;0.260018
327;0.264784
328;0.260946
